Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,LeBron James,33.0,CLE,PF,82.0,82.0,3026.0,0.542,0.603,0.367,0.59,0.731,0.621,0.336,0.257,118.0,118.0,101.0,113.0,95.0,112.0,133.0,76.0,216.1,233.7,"MVP-2,AS,NBA1"
2.0,Khris Middleton,26.0,MIL,SF,82.0,82.0,2982.0,0.466,0.517,0.359,0.524,0.884,0.577,0.285,0.32,101.0,101.0,99.0,100.0,115.0,104.0,113.0,95.0,6.1,60.0,
3.0,Andrew Wiggins,22.0,MIN,SF,82.0,82.0,2979.0,0.438,0.475,0.331,0.481,0.643,0.505,0.242,0.26,95.0,93.0,92.0,92.0,84.0,91.0,96.0,77.0,-105.1,-147.7,
4.0,Bradley Beal,24.0,WAS,SG,82.0,82.0,2977.0,0.46,0.507,0.375,0.527,0.791,0.564,0.249,0.357,100.0,99.0,104.0,101.0,103.0,101.0,99.0,106.0,18.1,25.8,AS
5.0,Jrue Holiday,27.0,NOP,SG,81.0,81.0,2927.0,0.494,0.557,0.337,0.543,0.786,0.57,0.191,0.286,107.0,109.0,93.0,104.0,102.0,102.0,76.0,85.0,53.3,36.8,"DPOY-7,DEF1"
6.0,CJ McCollum,26.0,POR,SG,81.0,81.0,2923.0,0.443,0.465,0.397,0.506,0.836,0.536,0.166,0.316,96.0,91.0,110.0,97.0,109.0,96.0,66.0,94.0,-45.8,-64.4,
7.0,Karl-Anthony Towns,22.0,MIN,C,82.0,82.0,2918.0,0.545,0.585,0.421,0.596,0.858,0.646,0.343,0.243,118.0,115.0,116.0,114.0,112.0,116.0,136.0,72.0,176.4,242.7,"AS,NBA3"
8.0,Russell Westbrook,29.0,OKC,PG,80.0,80.0,2914.0,0.449,0.485,0.298,0.477,0.737,0.524,0.336,0.193,98.0,95.0,82.0,92.0,96.0,94.0,133.0,57.0,-147.5,-125.4,"MVP-5,AS,NBA2"
9.0,Paul George,27.0,OKC,SF,79.0,79.0,2891.0,0.43,0.454,0.401,0.521,0.822,0.57,0.307,0.454,93.0,89.0,111.0,100.0,107.0,103.0,122.0,135.0,-0.8,42.4,"DPOY-4,AS,NBA3"
