Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Joe Johnson,22.0,PHO,SG,82.0,77.0,3331.0,8.6,20.1,0.43,1.3,4.2,0.305,7.3,15.9,0.463,0.462,2.7,3.6,0.75,1.2,4.7,6.0,5.6,1.4,0.4,3.1,2.8,21.3,100.0,109.0,
2.0,Peja StojakoviÄ,26.0,SAC,SF,81.0,81.0,3264.0,10.5,22.0,0.48,3.8,8.8,0.433,6.7,13.2,0.511,0.566,6.2,6.7,0.927,1.4,6.6,8.1,2.7,1.7,0.2,2.4,2.5,31.1,120.0,106.0,"MVP-4,AS,NBA2"
3.0,Stephon Marbury,26.0,2TM,PG,81.0,81.0,3254.0,9.7,22.5,0.431,1.4,4.4,0.318,8.3,18.1,0.46,0.463,5.8,7.1,0.817,0.9,3.3,4.3,11.7,2.1,0.1,4.0,2.8,26.6,108.0,107.0,
3.0,Stephon Marbury,26.0,PHO,PG,34.0,34.0,1415.0,9.6,22.2,0.432,1.4,4.3,0.314,8.2,17.9,0.461,0.463,5.4,6.8,0.795,0.7,3.6,4.3,10.3,2.3,0.2,3.6,2.7,25.9,107.0,108.0,
3.0,Stephon Marbury,26.0,NYK,PG,47.0,47.0,1839.0,9.8,22.7,0.431,1.5,4.5,0.321,8.3,18.2,0.458,0.463,6.1,7.3,0.833,1.1,3.1,4.3,12.8,1.9,0.1,4.4,2.9,27.1,109.0,107.0,
4.0,Kevin Garnett,27.0,MIN,PF,82.0,82.0,3231.0,13.4,26.9,0.499,0.2,0.7,0.256,13.2,26.2,0.506,0.502,6.1,7.8,0.791,4.1,14.9,19.0,6.8,2.0,3.0,3.5,3.4,33.2,112.0,92.0,"MVP-1,DPOY-6,AS,NBA1,DEF1"
5.0,Cuttino Mobley,28.0,HOU,SG,80.0,80.0,3229.0,7.8,18.3,0.426,2.8,7.1,0.39,5.0,11.2,0.448,0.501,3.0,3.7,0.811,0.7,5.5,6.1,4.4,1.8,0.6,3.0,3.0,21.3,103.0,101.0,
6.0,Shawn Marion,25.0,PHO,SF,79.0,79.0,3217.0,9.5,21.6,0.44,1.4,4.3,0.34,8.1,17.3,0.465,0.474,3.7,4.3,0.851,3.4,8.5,11.9,3.4,2.7,1.7,2.5,3.3,24.1,107.0,102.0,
7.0,Steve Francis,26.0,HOU,PG,79.0,79.0,3194.0,7.7,19.1,0.403,1.2,4.3,0.292,6.5,14.8,0.435,0.436,5.8,7.4,0.775,2.0,5.4,7.4,8.4,2.4,0.6,5.0,4.4,22.4,99.0,99.0,AS
8.0,Richard Jefferson,23.0,NJN,SF,82.0,82.0,3133.0,9.5,19.1,0.498,0.8,2.3,0.364,8.7,16.8,0.516,0.519,6.1,8.0,0.763,1.9,6.1,7.9,5.4,1.6,0.5,3.4,3.8,26.0,110.0,100.0,
9.0,LeBron James,19.0,CLE,SG,79.0,79.0,3122.0,10.5,25.3,0.417,1.1,3.7,0.29,9.5,21.6,0.438,0.438,5.9,7.8,0.754,1.7,5.6,7.3,7.9,2.2,1.0,4.6,2.5,28.0,99.0,104.0,"MVP-9,ROY-1"
10.0,Jim Jackson,33.0,HOU,SF,80.0,80.0,3119.0,6.7,15.8,0.424,2.8,7.1,0.4,3.9,8.7,0.444,0.514,1.9,2.2,0.843,0.9,7.6,8.5,4.0,1.5,0.4,3.1,4.0,18.1,101.0,100.0,
11.0,Damon Stoudamire,30.0,POR,PG,82.0,82.0,3118.0,7.3,18.2,0.401,2.8,7.6,0.365,4.5,10.6,0.426,0.477,2.3,2.6,0.876,0.9,4.6,5.5,8.9,1.8,0.2,3.2,3.1,19.6,107.0,108.0,
12.0,Latrell Sprewell,33.0,MIN,SF,82.0,82.0,3100.0,9.0,22.0,0.409,1.7,5.2,0.331,7.3,16.8,0.433,0.448,4.2,5.1,0.814,1.0,4.4,5.4,5.0,1.5,0.4,2.7,1.8,23.9,100.0,103.0,
13.0,Paul Pierce,26.0,BOS,SG,80.0,80.0,3099.0,10.0,24.9,0.402,1.9,6.4,0.299,8.1,18.5,0.438,0.441,8.6,10.5,0.819,1.1,7.5,8.7,6.8,2.2,0.9,5.0,3.9,30.5,101.0,103.0,AS
14.0,Zach Randolph,22.0,POR,PF,81.0,80.0,3067.0,12.0,24.8,0.485,0.0,0.1,0.2,12.0,24.7,0.486,0.485,5.4,7.1,0.761,4.4,11.1,15.4,3.0,1.2,0.7,4.5,4.1,29.5,103.0,104.0,MIP-1
15.0,Ben Wallace,29.0,DET,C,81.0,81.0,3050.0,5.6,13.4,0.421,0.0,0.1,0.125,5.6,13.3,0.424,0.422,2.5,5.2,0.49,5.8,12.2,18.0,2.5,2.6,4.4,2.2,2.9,13.8,98.0,87.0,"MVP-7,DPOY-2,AS,NBA2,DEF1"
16.0,Michael Redd,24.0,MIL,SG,82.0,82.0,3021.0,11.0,25.0,0.44,2.2,6.3,0.35,8.8,18.7,0.47,0.484,6.6,7.7,0.868,2.0,5.0,7.1,3.2,1.4,0.1,2.0,2.6,30.8,113.0,108.0,"MVP-14,AS,NBA3"
17.0,Jason Terry,26.0,ATL,PG,81.0,78.0,3018.0,8.7,20.9,0.417,2.6,7.4,0.347,6.2,13.6,0.455,0.478,3.8,4.6,0.827,0.9,5.0,5.9,7.7,2.2,0.3,4.0,3.4,23.8,103.0,107.0,
18.0,Lamar Odom,24.0,MIA,PF,80.0,80.0,3003.0,8.8,20.5,0.43,1.1,3.7,0.298,7.7,16.8,0.46,0.457,6.2,8.3,0.742,2.9,11.2,14.1,5.9,1.5,1.3,4.3,5.0,24.9,102.0,98.0,
19.0,Eddie Jones,32.0,MIA,SG,81.0,81.0,2998.0,8.6,21.0,0.409,3.2,8.7,0.37,5.4,12.3,0.437,0.486,5.1,6.1,0.835,0.7,4.9,5.6,4.7,1.7,0.6,2.3,4.1,25.5,110.0,103.0,
20.0,Carmelo Anthony,19.0,DEN,SF,82.0,82.0,2995.0,10.7,25.2,0.426,1.2,3.7,0.322,9.5,21.5,0.444,0.449,7.0,9.0,0.777,3.1,5.4,8.6,3.9,1.7,0.7,4.2,3.9,29.6,102.0,105.0,"MVP-14,ROY-2"
21.0,Donyell Marshall,30.0,2TM,PF,82.0,74.0,2988.0,8.6,18.7,0.461,2.4,6.0,0.403,6.2,12.8,0.488,0.525,2.5,3.3,0.736,3.9,11.0,14.8,2.2,1.7,2.3,2.1,4.5,22.1,108.0,97.0,
21.0,Donyell Marshall,30.0,CHI,PF,16.0,8.0,408.0,7.3,17.4,0.419,1.4,3.4,0.407,5.9,13.9,0.422,0.46,1.8,2.6,0.7,3.6,9.1,12.6,3.6,1.7,2.6,2.8,6.0,17.7,97.0,100.0,
21.0,Donyell Marshall,30.0,TOR,PF,66.0,66.0,2580.0,8.9,19.0,0.467,2.6,6.4,0.403,6.3,12.6,0.5,0.535,2.6,3.5,0.741,3.9,11.3,15.2,2.0,1.7,2.2,2.0,4.3,22.9,110.0,96.0,
22.0,Mike Bibby,25.0,SAC,PG,82.0,82.0,2980.0,9.1,20.3,0.45,2.6,6.6,0.392,6.6,13.7,0.479,0.514,5.3,6.5,0.815,1.2,3.6,4.8,7.7,1.9,0.3,3.0,2.5,26.1,113.0,108.0,
23.0,Eric Snow,30.0,PHI,PG,82.0,82.0,2966.0,5.4,13.1,0.413,0.0,0.3,0.111,5.4,12.8,0.42,0.414,4.6,5.8,0.797,1.1,4.0,5.2,10.3,1.8,0.1,3.4,3.9,15.5,104.0,105.0,
24.0,Stephen Jackson,25.0,ATL,SF,80.0,78.0,2940.0,9.6,22.7,0.425,2.6,7.7,0.34,7.0,15.0,0.469,0.483,4.2,5.3,0.785,1.7,4.9,6.7,4.4,2.6,0.4,4.0,3.9,26.1,101.0,106.0,
25.0,Jason Richardson,23.0,GSW,SG,78.0,78.0,2936.0,10.3,23.4,0.438,1.4,5.0,0.282,8.8,18.4,0.481,0.468,4.7,6.9,0.684,2.3,7.3,9.5,4.1,1.6,0.7,3.6,3.3,26.6,100.0,104.0,
26.0,Rashard Lewis,24.0,SEA,SF,80.0,80.0,2931.0,9.7,22.4,0.435,2.6,7.0,0.376,7.1,15.3,0.463,0.494,3.8,4.9,0.763,2.4,7.0,9.4,3.2,1.8,1.0,2.5,4.2,25.9,107.0,108.0,
