Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
1,Michael Finley,27,DAL,SF,82,82,3443,0,26,65,9,0,5.7,8.5,123,31,72,16,131,841,22,68,"MVP-15,AS"
2,Antoine Walker,24,BOS,PF,81,81,3396,0,0,3,96,1,-2.4,0.7,129,82,90,42,149,960,38,116,
3,Antawn Jamison,24,GSW,SF,82,82,3394,0,1,42,56,1,-8.4,8.9,81,65,101,33,211,352,53,98,
4,Anthony Mason,34,MIA,PF,80,80,3254,0,0,13,85,2,1.7,-4.5,59,52,102,35,178,605,40,100,"MVP-15,DPOY-8,AS"
5,Gary Payton,32,SEA,PG,79,79,3244,77,23,0,0,0,-0.4,-1.9,102,63,63,20,113,1415,34,68,"AS,NBA3,DEF1"
6,Shareef Abdur-Rahim,24,VAN,SF,81,81,3241,0,2,78,21,0,-7.0,-5.1,70,81,93,41,198,556,48,151,
7,Jerry Stackhouse,26,DET,SG,80,80,3215,0,50,49,0,0,-1.3,2.6,131,127,46,32,250,900,46,103,"MVP-14,AS"
8,Kevin Garnett,24,MIN,PF,81,81,3202,0,0,0,48,52,3.3,8.8,84,59,82,28,189,873,47,42,"MVP-5,DPOY-2,AS,NBA2,DEF1"
9,Steve Francis,23,HOU,PG,80,79,3194,72,28,0,0,0,3.2,3.7,124,67,75,32,151,1149,35,72,
10,Baron Davis,21,CHH,PG,82,82,3192,98,3,0,0,0,4.7,11.1,121,52,106,33,132,1284,30,42,
11,Mike Bibby,22,VAN,PG,82,82,3190,95,6,0,0,0,-6.4,-2.0,167,56,48,13,48,1425,6,35,
12,Reggie Miller,35,IND,SG,81,81,3181,38,62,0,0,0,0.5,2.5,72,19,45,29,88,557,13,29,
13,Tim Duncan,24,SAS,PF,82,82,3174,0,0,0,61,39,11.4,12.5,82,70,142,35,274,554,53,102,"MVP-2,DPOY-3,AS,NBA1,DEF1"
14,Ray Allen,25,MIL,SG,82,82,3129,0,90,10,0,0,5.4,6.3,96,76,100,17,139,846,32,54,"MVP-11,AS,NBA3"
15,Dirk Nowitzki,22,DAL,PF,82,82,3125,0,0,3,76,21,8.3,17.7,76,35,146,22,221,387,53,51,NBA3
16,Paul Pierce,23,BOS,SF,82,82,3120,1,29,70,0,0,-1.8,2.9,92,92,107,38,292,588,69,89,MVP-13
17,David Wesley,30,CHH,SG,82,82,3106,14,86,0,0,0,2.1,-1.6,97,40,86,22,98,781,13,65,
18,Jason Terry,23,ATL,SG,82,77,3089,21,74,5,0,0,-5.6,1.1,142,62,87,9,111,853,21,87,
19,Tracy McGrady,21,ORL,SG,77,77,3087,1,95,4,0,0,4.2,14.0,98,70,60,9,256,787,60,97,"MVP-6,MIP-1,AS,NBA2"
20,Jason Kidd,27,PHO,PG,77,76,3065,91,10,0,0,0,2.1,-1.3,189,58,68,19,108,1604,21,47,"MVP-8,DPOY-11,AS,NBA1,DEF1"
21,Latrell Sprewell,30,NYK,SF,77,77,3017,0,37,63,1,0,2.1,-4.2,88,78,64,20,146,615,33,60,AS
22,Cuttino Mobley,25,HOU,SG,79,49,3002,0,82,18,0,0,4.4,7.9,69,50,64,24,158,438,33,79,
23,Jamal Mashburn,28,CHH,SF,76,76,2989,0,0,96,4,0,3.0,2.2,94,65,96,30,134,881,23,80,
24,Vince Carter,24,TOR,SF,75,75,2979,0,31,68,2,0,5.5,11.6,78,39,83,22,172,621,28,57,"MVP-11,AS,NBA2"
25,Allen Iverson,25,PHI,SG,71,71,2979,39,60,1,0,0,5.7,4.1,104,74,46,25,267,696,46,96,"MVP-1,DPOY-11,AS,NBA1"
26,Juwan Howard,27,2TM,PF,81,81,2974,0,0,19,66,15,-1.9,2.3,97,50,106,54,163,502,33,94,
26,Juwan Howard,27,WAS,PF,54,54,1981,0,0,0,80,21,-6.1,2.2,56,43,57,38,105,346,22,68,
26,Juwan Howard,27,DAL,PF,27,27,993,0,0,57,41,3,6.4,2.5,41,7,49,16,58,156,11,26,
27,Jalen Rose,28,IND,SF,72,72,2943,3,57,41,0,0,-0.7,-2.6,112,43,81,42,118,958,27,53,
28,Rasheed Wallace,26,POR,PF,77,75,2940,0,0,3,92,5,6.4,7.1,84,41,114,14,131,463,25,35,AS
29,Doug Christie,30,SAC,SG,81,81,2939,1,89,10,0,0,6.4,1.0,76,41,74,16,91,623,16,60,"DPOY-4,DEF2"
30,Shaquille O'Neal,28,LAL,C,74,74,2924,0,0,0,0,100,8.0,15.6,72,50,147,39,365,644,115,50,"MVP-3,DPOY-8,AS,NBA1,DEF2"
31,Elton Brand,21,CHI,PF,74,74,2906,0,0,2,72,26,-8.7,6.1,64,77,100,34,192,543,47,95,
32,Peja StojakoviÄ,23,SAC,SF,75,75,2905,0,9,86,5,0,6.2,-0.1,55,54,52,16,110,358,21,72,
33,Karl Malone,37,UTA,PF,81,81,2895,0,0,0,88,12,6.6,6.2,144,45,85,34,263,776,67,86,"MVP-7,AS,NBA3"
34,Derek Anderson,26,SAS,SG,82,82,2859,0,76,24,0,0,11.7,10.3,86,41,74,20,133,674,19,53,
35,Allan Houston,29,NYK,SG,78,78,2858,12,81,7,0,0,1.9,-4.4,75,48,66,26,83,382,13,59,AS
36,Shawn Marion,22,PHO,SF,79,79,2857,0,4,91,6,0,4.9,9.2,53,51,123,12,130,352,31,59,DPOY-11
37,Wally Szczerbiak,23,MIN,SF,82,82,2856,0,0,95,4,0,4.2,9.6,60,36,106,13,80,571,21,48,
38,Andre Miller,24,CLE,PG,82,82,2848,97,3,0,0,0,-1.3,12.4,147,64,78,26,171,1388,32,92,
39,Lamar Odom,21,LAC,PF,76,74,2836,0,0,34,64,3,-2.6,2.6,140,69,118,35,169,859,43,54,
40,Chris Webber,27,SAC,PF,70,70,2836,0,0,0,91,9,6.7,1.6,92,46,114,35,190,669,41,90,"MVP-4,AS,NBA1"
41,Jeff McInnis,26,LAC,PG,81,81,2831,92,8,0,0,0,-5.3,-6.8,73,25,52,6,51,993,10,30,
42,Terrell Brandon,30,MIN,PG,78,78,2821,100,0,0,0,0,2.2,2.1,92,40,60,7,53,1231,4,40,
43,Glenn Robinson,28,MIL,SF,76,74,2813,0,2,78,20,1,3.6,-1.9,76,96,88,21,97,575,23,72,AS
44,P.J. Brown,31,CHH,C,80,79,2811,0,0,0,23,77,4.7,7.6,43,29,116,22,89,278,17,36,DEF2
45,Kobe Bryant,22,LAL,SG,68,68,2783,0,65,34,0,0,6.4,8.8,67,82,78,42,221,735,51,75,"MVP-9,DPOY-11,AS,NBA2,DEF2"
46,Clarence Weatherspoon,30,CLE,PF,82,82,2774,0,0,0,93,7,-5.6,-2.6,30,42,84,19,123,217,21,91,
47,Brian Grant,28,MIA,C,82,79,2771,0,0,0,13,87,3.3,2.4,60,39,121,46,136,221,34,117,
48,Charles Oakley,37,TOR,PF,78,77,2767,0,0,5,93,3,4.8,7.3,101,16,133,10,36,590,7,20,
