Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,James Harden,25,HOU,SG,81,81,2981,1,92,7,0,0,5.7,8.6,176,97,88,36,335,23,1382,50,107,"MVP-2,AS,NBA1"
2,Andrew Wiggins,19,MIN,SF,82,82,2969,0,34,64,1,0,-10.0,-1.8,62,67,93,22,226,12,382,44,67,ROY-1
3,Trevor Ariza,29,HOU,SF,82,82,2930,0,1,85,14,0,3.9,1.2,78,30,68,17,64,8,510,11,34,DPOY-13
4,Damian Lillard,24,POR,PG,82,82,2925,79,21,0,0,0,4.8,2.2,137,62,58,14,157,36,1174,36,66,AS
5,Chris Paul,29,LAC,PG,82,82,2857,100,1,0,0,0,12.8,20.3,116,49,72,17,49,17,1905,13,21,"MVP-6,DPOY-15,AS,NBA2,DEF1"
6,John Wall,24,WAS,PG,79,79,2837,94,6,0,0,0,4.5,12.9,193,74,75,20,153,18,1790,35,44,"AS,DEF2"
7,DeAndre Jordan,26,LAC,C,82,82,2820,0,0,0,0,100,11.8,15.4,39,28,128,18,139,4,144,38,16,"DPOY-3,NBA3,DEF1"
8,Eric Bledsoe,25,PHO,PG,81,81,2800,81,19,0,0,0,0.6,5.6,152,81,67,20,182,23,1145,51,51,
9,Joe Johnson,33,BRK,SG,80,80,2791,0,31,60,9,0,-2.5,2.0,69,48,53,11,52,4,673,10,24,
10,Kyrie Irving,22,CLE,PG,75,75,2730,99,1,0,0,0,7.5,9.4,94,61,59,16,144,4,910,36,63,"AS,NBA3"
11,Monta Ellis,29,DAL,SG,80,80,2699,0,95,5,0,0,3.4,1.4,101,60,87,18,111,18,790,22,36,
12,Tyreke Evans,25,NOP,SG,79,76,2690,2,71,27,0,0,3.1,5.4,116,66,67,31,133,6,1224,33,112,
13,Marc Gasol,30,MEM,C,81,81,2687,0,0,0,8,92,3.6,0.7,65,58,100,30,194,11,687,50,51,"MVP-8,DPOY-10,AS,NBA1"
14,Pau Gasol,34,CHI,PF,78,78,2681,0,0,0,48,52,3.4,0.1,82,58,80,7,142,6,505,34,61,"AS,NBA2"
15,Ben McLemore,21,SAC,SG,82,82,2670,0,96,4,0,0,-1.0,8.4,56,47,129,14,67,7,302,13,37,
16,Ty Lawson,27,DEN,PG,75,75,2665,96,4,0,0,0,-1.4,7.6,125,36,48,12,152,9,1665,22,59,
17,Goran DragiÄ,28,2TM,PG,78,78,2640,24,69,7,0,0,0.1,3.1,92,48,82,15,95,17,812,27,49,
17,Goran DragiÄ,28,PHO,SG,52,52,1735,7,83,11,0,0,1.4,4.5,57,35,49,9,53,9,491,14,35,
17,Goran DragiÄ,28,MIA,PG,26,26,905,58,42,0,0,0,-2.4,0.5,35,13,33,6,42,8,321,13,14,
18,Gordon Hayward,24,UTA,SF,76,76,2618,0,34,66,1,0,1.5,4.0,106,57,48,17,189,13,745,36,60,
19,Stephen Curry,26,GSW,PG,80,80,2613,100,0,0,0,0,16.7,18.1,162,58,76,9,113,17,1422,29,35,"MVP-1,AS,NBA1"
20,Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,0,81,19,0,0,1.0,7.1,39,36,83,6,71,12,255,16,32,
21,Markieff Morris,25,PHO,PF,82,82,2581,0,0,0,65,35,1.6,7.6,83,33,115,32,106,10,442,28,42,
22,Victor Oladipo,22,ORL,SG,72,71,2573,16,71,12,0,0,-6.2,-0.4,90,75,75,24,139,10,673,19,95,
23,Giannis Antetokounmpo,20,MIL,SG,81,71,2541,0,32,47,21,0,0.4,-1.0,49,42,93,49,155,9,487,37,65,
24,Kevin Love,26,CLE,PF,75,75,2532,0,0,0,95,5,7.4,7.8,49,45,85,11,122,6,365,18,56,
25,Nikola VuÄeviÄ,24,ORL,C,74,74,2529,0,0,0,11,89,-6.3,-0.8,48,41,122,34,102,7,359,27,43,
26,Jimmy Butler,25,CHI,SG,65,65,2513,0,70,30,0,0,4.6,3.5,43,19,46,23,203,7,492,30,59,"DPOY-10,MIP-1,AS,DEF2"
27,LaMarcus Aldridge,29,POR,PF,71,71,2512,0,0,0,91,9,5.9,4.6,33,55,70,20,165,3,308,36,37,"MVP-7,AS,NBA2"
28,Andre Drummond,21,DET,C,82,82,2502,0,0,0,0,100,-1.9,-1.2,25,29,125,30,161,7,127,35,58,
29,Arron Afflalo,29,2TM,SG,78,72,2502,0,85,15,0,0,-0.7,1.2,44,35,73,18,67,8,303,17,63,
29,Arron Afflalo,29,DEN,SG,53,53,1750,0,91,9,0,0,-2.8,1.7,32,23,46,12,51,6,232,14,47,
29,Arron Afflalo,29,POR,SG,25,19,752,0,72,28,0,0,4.2,-0.1,12,12,27,6,16,2,71,3,16,
30,LeBron James,30,CLE,SF,69,69,2493,0,0,77,23,0,10.7,16.6,155,61,46,26,239,7,1228,62,48,"MVP-3,DPOY-13,AS,NBA1"
31,Draymond Green,24,GSW,PF,79,79,2490,0,0,0,90,10,16.1,14.5,76,27,131,22,87,9,698,22,33,"DPOY-2,DEF1"
32,Elfrid Payton,20,ORL,PG,82,63,2489,97,3,0,0,0,-3.4,7.1,117,45,84,19,99,11,1202,19,101,ROY-4
33,Wilson Chandler,27,DEN,SF,78,75,2471,0,5,85,10,0,-4.6,-2.2,43,26,103,18,68,8,322,19,48,
34,Klay Thompson,24,GSW,SG,77,77,2455,0,92,8,0,0,15.4,12.3,68,54,70,12,111,3,502,20,52,"MVP-10,AS,NBA3"
35,Anthony Davis,21,NOP,PF,68,68,2455,0,0,0,64,36,5.6,11.4,26,36,86,19,209,9,351,53,57,"MVP-5,DPOY-4,AS,NBA1,DEF2"
36,Jeff Green,28,2TM,SF,78,70,2454,0,0,83,16,0,-3.2,-7.4,37,33,59,17,128,9,305,25,66,
36,Jeff Green,28,BOS,SF,33,33,1093,0,0,89,11,0,-5.6,-7.8,15,21,24,10,62,5,127,13,25,
36,Jeff Green,28,MEM,SF,45,37,1361,0,0,79,21,0,-1.2,-7.0,22,12,35,7,66,4,178,12,41,
37,Marcin Gortat,30,WAS,C,82,82,2453,0,0,0,0,100,5.1,10.9,30,29,98,24,79,13,230,17,50,
38,Thaddeus Young,26,2TM,PF,76,68,2434,0,0,5,92,3,-4.1,4.9,49,49,87,10,91,4,385,14,69,
38,Thaddeus Young,26,MIN,PF,48,48,1605,0,0,7,88,5,-6.6,4.9,29,35,53,7,56,1,299,7,44,
38,Thaddeus Young,26,BRK,PF,28,20,829,0,0,0,99,1,0.7,4.9,20,14,34,3,35,3,86,7,25,
39,Avery Bradley,24,BOS,SG,77,77,2428,25,72,3,0,0,-2.2,-5.7,58,39,54,7,38,12,293,7,49,
40,Luol Deng,29,MIA,SF,72,72,2421,0,0,44,56,0,-0.5,5.9,55,37,56,4,104,4,321,13,43,
41,Kyle Korver,33,ATL,SG,75,75,2418,0,75,25,0,0,11.0,13.7,75,16,82,6,26,6,428,7,12,AS
42,Kyle Lowry,28,TOR,PG,70,70,2414,100,0,0,0,0,3.6,0.9,91,49,79,19,127,29,1080,26,57,AS
43,JJ Redick,30,LAC,SG,78,78,2409,1,94,5,0,0,12.6,13.7,47,28,72,5,63,16,320,12,26,
44,Rudy Gay,28,SAC,SF,68,67,2408,0,2,79,19,0,-2.2,4.0,89,68,68,17,154,8,562,29,62,
45,Paul Millsap,29,ATL,PF,73,73,2390,0,0,0,94,6,8.0,5.5,53,63,106,28,142,2,529,32,65,AS
46,P.J. Tucker,29,PHO,SF,78,63,2383,0,17,73,11,0,-1.2,-0.2,51,13,61,13,54,17,278,10,32,
47,Solomon Hill,23,IND,SF,82,78,2381,0,28,72,0,0,-3.5,-8.8,64,24,88,8,78,11,427,11,59,
48,Nicolas Batum,26,POR,SF,71,71,2380,0,0,89,11,0,4.3,0.1,96,16,49,5,35,6,772,7,14,
49,Khris Middleton,23,MIL,SF,79,58,2378,0,1,52,46,2,7.0,15.5,56,34,81,9,61,10,403,13,33,
50,Tobias Harris,22,ORL,SF,68,63,2369,0,0,72,28,0,-6.8,-2.0,43,37,60,23,108,7,278,31,70,
51,Mario Chalmers,28,MIA,PG,80,37,2368,52,48,0,0,0,-3.2,-1.1,91,52,97,17,93,39,711,19,42,
52,Blake Griffin,25,LAC,PF,67,67,2356,0,0,0,98,2,12.5,12.8,65,49,87,28,189,11,849,45,50,"MVP-8,AS,NBA3"
53,Courtney Lee,29,MEM,SG,77,74,2354,3,60,37,0,0,2.1,-3.2,45,17,54,5,34,3,336,5,18,
54,Harrison Barnes,22,GSW,SF,82,82,2318,0,0,61,39,0,11.9,2.7,27,29,82,9,74,8,276,13,32,
55,Al Horford,28,ATL,C,76,76,2318,0,0,0,9,91,6.6,1.8,40,29,74,15,68,2,604,17,36,AS
56,Gerald Henderson,27,CHO,SG,80,72,2315,1,81,19,0,0,-0.7,6.5,48,32,42,15,95,19,451,19,34,
57,Danny Green,27,SAS,SG,81,80,2312,1,54,44,2,0,9.6,7.3,54,23,87,6,30,14,352,5,20,
58,Nerlens Noel,20,PHI,C,75,71,2311,0,0,0,21,79,-9.1,0.8,62,51,98,16,100,9,303,20,39,"ROY-3,DPOY-15"
59,Zach Randolph,33,MEM,PF,71,71,2304,0,0,0,98,2,6.5,7.4,67,47,60,23,138,7,351,33,81,
60,Russell Westbrook,26,OKC,PG,67,67,2302,69,31,0,0,0,4.7,6.7,167,80,34,30,266,16,1298,46,87,"MVP-4,AS,NBA2"
61,Josh Smith,29,2TM,PF,83,35,2300,0,0,8,85,7,0.1,-1.4,123,54,119,16,102,8,671,19,48,
