Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Andre Iguodala,25.0,PHI,SF,82.0,82.0,3269.0,0.473,13.0,0.772,0.354,0.053,0.075,0.29,0.228,0.521,0.727,0.279,0.291,0.375,0.307,0.491,0.65,0.137,153.0,0.172,0.289,5.0,1.0,DPOY-13
2.0,Joe Johnson,27.0,ATL,SG,79.0,79.0,3124.0,0.437,14.8,0.708,0.171,0.2,0.123,0.215,0.292,0.468,0.572,0.507,0.425,0.374,0.36,0.28,0.752,0.008,8.0,0.273,0.389,4.0,0.0,AS
3.0,O.J. Mayo,21.0,MEM,SG,82.0,82.0,3120.0,0.438,15.4,0.705,0.209,0.096,0.109,0.292,0.295,0.461,0.496,0.447,0.393,0.465,0.384,0.281,0.807,0.029,36.0,0.161,0.41,3.0,0.0,ROY-2
4.0,Antawn Jamison,32.0,WAS,PF,81.0,81.0,3096.0,0.468,11.9,0.779,0.288,0.213,0.095,0.183,0.221,0.501,0.631,0.479,0.394,0.376,0.351,0.639,1.0,0.008,12.0,0.144,0.37,1.0,0.0,
5.0,Raymond Felton,24.0,CHA,PG,82.0,81.0,3086.0,0.408,13.3,0.809,0.3,0.104,0.073,0.331,0.191,0.437,0.471,0.425,0.43,0.412,0.285,0.295,0.949,0.003,3.0,0.217,0.311,9.0,1.0,
6.0,Tayshaun Prince,28.0,DET,SF,82.0,82.0,3057.0,0.45,12.4,0.862,0.228,0.179,0.156,0.298,0.138,0.458,0.618,0.443,0.365,0.395,0.397,0.459,0.964,0.051,47.0,0.674,0.453,0.0,0.0,
7.0,LeBron James,24.0,CLE,SF,81.0,81.0,3054.0,0.489,13.4,0.762,0.333,0.092,0.074,0.263,0.238,0.535,0.728,0.453,0.286,0.388,0.344,0.318,0.424,0.083,128.0,0.107,0.341,7.0,0.0,"MVP-1,DPOY-2,AS,NBA1,DEF1"
8.0,Dirk Nowitzki,30.0,DAL,PF,81.0,81.0,3050.0,0.479,13.8,0.895,0.144,0.085,0.327,0.339,0.105,0.493,0.601,0.401,0.489,0.474,0.359,0.52,0.967,0.009,14.0,0.041,0.0,0.0,0.0,"MVP-10,AS,NBA1"
9.0,Dwyane Wade,27.0,MIA,SG,79.0,79.0,3048.0,0.491,12.3,0.84,0.334,0.084,0.094,0.328,0.16,0.524,0.664,0.479,0.445,0.416,0.317,0.253,0.295,0.082,128.0,0.151,0.262,8.0,0.0,"MVP-3,DPOY-3,AS,NBA1,DEF2"
10.0,Paul Pierce,31.0,BOS,SF,81.0,81.0,3035.0,0.457,13.8,0.743,0.266,0.062,0.187,0.228,0.257,0.48,0.551,0.425,0.452,0.435,0.391,0.363,0.924,0.008,10.0,0.138,0.452,1.0,0.0,"MVP-7,AS,NBA2"
